ITEM_ID,TAG,CREATION_TIMESTAMP
1,Pants|Cotton|Formal|Navy,1492650666
2,Jeans|Formal|Navy,1422975998
3,Shorts|Sport|Navy,1468706794
4,T-Shirt|Casual|Navy,1493878397
5,Shirt|Formal|Navy,1445076013
6,Jumper|Cotton|Winter|Navy,1474947023
7,Dress|Formal|Navy,1396065850
8,Jacket|Formal|Navy,1577061130
9,Coat|Formal|Winter|Navy,1431794170
10,Skirt|Formal|Navy,1519688312
11,Shoes|Formal|Navy,1469367276
12,Pants|Cotton|Formal|Black,1498754217
13,Jeans|Formal|Blue,1506965235
14,Shorts|Sport|Black,1474149802
15,T-Shirt|Casual|Black,1447548635
16,Shirt|Formal|Blue,1571928542
17,Jumper|Cotton|Winter|Black,1452255335
18,Dress|Formal|Black,1425247639
19,Jacket|Formal|Black,1450939957
20,Coat|Formal|Winter|Black,1569295399
21,Skirt|Formal|Black,1472128907
22,Shoes|Formal|Black,1539353209
23,Pants|Cotton|Formal|Brown,1542403698
24,Jeans|Formal|Grey,1417770570
25,Shorts|Sport|Grey,1472953846
26,T-Shirt|Casual|Blue,1412097214
27,Shirt|Formal|White,1404611198
28,Jumper|Cotton|Winter|Blue,1432942278
29,Dress|Formal|White,1471915259
30,Jacket|Formal|White,1489971102
31,Coat|Formal|Winter|White,1486412320
32,Skirt|Formal|Grey,1504469690
33,Shoes|Formal|Brown,1468716941
34,Pants|Cotton|Formal|Grey,1465570438
35,Jeans|Formal|Black,1525592983
36,Shorts|Sport|White,1480212916
37,T-Shirt|Casual|Grey,1419946840
38,Shirt|Formal|Black,1448791544
39,Jumper|Cotton|Winter|White,1416197206
40,Dress|Formal|Blue,1406112823
41,Jacket|Formal|Blue,1446681984
42,Coat|Formal|Winter|Brown,1504344021
43,Skirt|Casual|Long|Blue,1427928310
44,Shoes|Casual|Sport|White,1399161615
45,Pants|Cotton|Casual|Blue,1485778361
46,Jeans|Casual|Navy,1530288427
47,Shorts|Casual|Summer|White,1512814234
48,T-Shirt|Casual|Red,1398233540
49,Shirt|Formal|Grey,1494849932
50,Jumper|Casual|Blue,1506371367
51,Dress|Formal|Red,1405752968
52,Jacket|Formal|Brown,1564887279
53,Coat|Casual|Winter|Navy,1576233963
54,Skirt|Casual|Long|Yellow,1525611306
55,Shoes|Casual|Sport|Grey,1486494265
56,Pants|Cotton|Casual|Red,1505431593
57,Jeans|Casual|Blue,1555045229
58,Shorts|Casual|Summer|Grey,1434148374
59,T-Shirt|Casual|Blue,1413964481
60,Shirt|Casual|Blue,1394255668
61,Jumper|Casual|Red,1561974143
62,Dress|Casual|Summer|Green,1537887459
63,Jacket|Casual|Winter|Navy,1436169509
64,Coat|Casual|Winter|Brown,1573418879
65,Skirt|Casual|Long|Green,1478615496
66,Shoes|Casual|Sport|Blue,1396754839
67,Pants|Cotton|Casual|White,1396069354
68,Jeans|Casual|Grey,1433549411
69,Shorts|Casual|Summer|Blue,1414532845
70,T-Shirt|Casual|Green,1527333385
71,Shirt|Casual|Red,1406843126
72,Jumper|Casual|Green,1390567010
73,Dress|Casual|Summer|Yellow,1511993738
74,Jacket|Casual|Sport|White,1575809379
75,Coat|Casual|Winter|White,1431977379
76,Skirt|Casual|Short|White,1519157726
77,Shoes|Highheel|Black,1433043546
78,Pants|Cotton|Casual|Black,1435351342
79,Jeans|Casual|Black,1530122642
80,Shorts|Casual|Summer|Red,1473334125
81,T-Shirt|Casual|Brown,1403544934
82,Shirt|Casual|Green,1430205268
83,Jumper|Casual|Yellow,1464004827
84,Dress|Casual|Summer|White,1435729483
85,Jacket|Casual|Sport|Blue,1555404732
86,Coat|Casual|Winter|Yellow,1440863052
87,Skirt|Casual|Short|Blue,1417773690
88,Shoes|Highheel|Red,1446594870
89,Pants|Cotton|Casual|Grey,1561429739
90,Jeans|Casual|White,1438801103
91,Shorts|Casual|Summer|Yellow,1540149474
92,T-Shirt|Casual|Yellow,1555263210
93,Shirt|Casual|Yellow,1503525777
94,Jumper|Casual|White,1533604173
95,Dress|Casual|Winter|Navy,1432812343
96,Jacket|Sport|White,1498387061
97,Coat|Casual|Winter|Red,1477296412
98,Skirt|Casual|Short|Yellow,1441567019
99,Shoes|Sport|White,1458127087
100,Pants|Cotton|Casual|Brown,1478043627
